,lr,alpha,beta,best acc,best prec,best rec,best f1,best faith,avg certainty,what is og
0,0.05,0.8,0.1,0.875,1,0.933333333,0.875,-1.19E-07,0.9395,og alpha
1,0.05,0.8,0.2,0.875,1,0.933333333,0.875,-1.19E-07,0.8179,og alpha
2,0.05,0.8,0.3,0.875,1,0.933333333,0.875,-1.19E-07,0.7055,og alpha
3,0.05,0.8,0.4,0.875,1,0.933333333,0.875,-1.19E-07,0.6654,og alpha
4,0.05,0.8,0.5,0.875,1,0.933333333,0.875,-1.19E-07,0.6067,og alpha
5,0.05,0.8,0.6,0.8125,0.928571429,0.896551724,0.866666667,0.001865745,0.5702,og alpha
6,0.05,0.8,0.7,0.866666667,0.928571429,0.928571429,0.928571429,0.007011533,0.5252,og alpha
7,0.05,0.8,0.8,0.684210526,0.928571429,0.8125,0.722222222,0.609113276,0.5236,og alpha
8,0.05,0.8,0.9,0.666666667,0.714285714,0.8,0.909090909,0.026385546,0.5033,og alpha
9,0.05,0.8,1,0.45,0.642857143,0.620689655,0.6,0.99191117,0.4643,og alpha
10,0.05,0.1,0.6,0.25,0.285714286,0.4,0.666666667,0.999995731,0.2016,og beta
11,0.05,0.2,0.6,0.25,0.285714286,0.4,0.666666667,0.999995731,0.2684,og beta
12,0.05,0.3,0.6,0.357142857,0.357142857,0.526315789,1,0.933709435,0.3994,og beta
13,0.05,0.4,0.6,0.411764706,0.5,0.583333333,0.7,0.996806675,0.4088,og beta
14,0.05,0.5,0.6,0.588235294,0.714285714,0.740740741,0.769230769,0.998351652,0.4707,og beta
15,0.05,0.6,0.6,0.75,0.857142857,0.857142857,0.857142857,0.470205545,0.5389,og beta
16,0.05,0.7,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.5851,og beta
17,0.05,0.8,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.6202,og beta
18,0.05,0.9,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.6073,og beta
19,0.05,1,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.6242,og beta
