Dataset,Run,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall
25,28,Beta,31,116,2,106,0.980000019,0.96875,0.939393938,1,0.576470588,0.939393939,0.226277372
25,29,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,30,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,31,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,32,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,33,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,34,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,35,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,36,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,37,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,38,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,39,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,40,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,41,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,42,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,43,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,44,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,45,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,46,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,47,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,48,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,49,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,50,Beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642
25,25,Beta,30,116,2,107,0.973333359,0.9375,0.9375,1,0.57254902,0.9375,0.218978102
25,26,Beta,30,116,2,107,0.973333359,0.9375,0.9375,1,0.57254902,0.9375,0.218978102
25,27,Beta,31,115,3,106,0.973333359,0.96875,0.911764681,1,0.57254902,0.911764706,0.226277372
25,24,Beta,29,116,2,108,0.966666639,0.90625,0.935483873,1,0.568627451,0.935483871,0.211678832
25,22,Beta,27,117,1,110,0.959999979,0.84375,0.964285731,1,0.564705882,0.964285714,0.197080292
25,23,Beta,27,117,1,110,0.959999979,0.84375,0.964285731,1,0.564705882,0.964285714,0.197080292
25,19,Beta,24,117,1,113,0.939999998,0.75,0.959999979,1,0.552941176,0.96,0.175182482
25,21,Beta,24,117,1,113,0.939999998,0.75,0.959999979,1,0.552941176,0.96,0.175182482
25,18,Beta,23,117,1,114,0.933333337,0.71875,0.958333313,1,0.549019608,0.958333333,0.167883212
25,17,Beta,22,117,1,115,0.926666677,0.6875,0.956521749,1,0.545098039,0.956521739,0.160583942
25,20,Beta,22,117,1,115,0.926666677,0.6875,0.956521749,1,0.545098039,0.956521739,0.160583942
25,16,Beta,21,117,1,116,0.920000017,0.65625,0.954545438,1,0.541176471,0.954545455,0.153284672
25,14,Beta,20,117,1,117,0.913333356,0.625,0.952380955,1,0.537254902,0.952380952,0.145985401
25,15,Beta,20,117,1,117,0.913333356,0.625,0.952380955,1,0.537254902,0.952380952,0.145985401
25,13,Beta,14,118,0,123,0.879999995,0.4375,1,1,0.517647059,1,0.102189781
25,12,Beta,13,117,1,124,0.866666675,0.40625,0.928571403,1,0.509803922,0.928571429,0.094890511
25,11,Beta,5,118,0,132,0.819999993,0.15625,1,1,0.482352941,1,0.03649635
25,10,Beta,4,118,0,133,0.813333333,0.125,1,1,0.478431373,1,0.02919708
25,9,Beta,3,118,0,134,0.806666672,0.09375,1,1,0.474509804,1,0.02189781
25,8,Beta,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927
25,1,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
25,2,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
25,3,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
25,4,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
25,5,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
25,6,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
25,7,Beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0
