,Dataset,Category,MannWhitney-U,t-test,Permutation Test
0,Cora,Phenomenon Characterization Score,0.18587673236587576,0.06778959348680401,0.065
1,Cora,Model Characterization Score,0.12122450301291662,0.06743676481707375,0.0734
2,Cora,Fraction of Edges in Explanation,0.00018165114609146497,6.471310253971383e-11,0.0002
3,Cora,Unfaithfulness,1.0,,1.0
4,CiteSeer,Phenomenon Characterization Score,1.0,0.7579193132383034,0.7478
5,CiteSeer,Model Characterization Score,1.0,0.879566778663802,0.8898
6,CiteSeer,Fraction of Edges in Explanation,0.009082426667640772,0.007968898144582662,0.0086
7,CiteSeer,Unfaithfulness,1.0,,1.0
8,SERGIO 25,Full Accuracy,2.428174732475476e-05,5.907046147964523e-34,0.0002
9,SERGIO 25,Full F1 Score,2.428174732475476e-05,4.753888198952772e-33,0.0002
10,SERGIO 25,Accuracy,2.428174732475476e-05,5.906940936900526e-34,0.0002
11,SERGIO 25,F1 Score,2.428174732475476e-05,3.210242625501585e-29,0.0002
12,SERGIO 25,Unfaithfulness,1.5937911688066244e-05,1.638403946691453e-54,0.0002
13,SERGIO 50,Full Accuracy,0.07543121070708389,0.17854756626543888,0.208
14,SERGIO 50,Full F1 Score,0.01597783461281359,0.00015980221601424662,0.0012
15,SERGIO 50,Accuracy,0.07543121070708389,0.1785471503344495,0.1556
16,SERGIO 50,F1 Score,0.01597783461281359,0.00020661459550164955,0.0004
17,SERGIO 50,Unfaithfulness,1.0,,1.0
18,SG-BASE,Best Acc,4.098809664367491e-09,8.409902813552573e-13,0.0002
19,SG-BASE,Best Faith,1.3480401319953951e-11,3.7358383890447284e-22,0.0002
20,SG-BASE,F1 Score,4.30869065624042e-09,2.39019634073246e-12,0.0002
21,SG-HETEROPHILIC,Best Acc,0.9102721286957761,0.6240484462106197,0.6324
22,SG-HETEROPHILIC,Best Faith,2.89532444463955e-05,6.719885366190045e-07,0.0002
23,SG-HETEROPHILIC,F1 Score,0.9214521720317704,0.7335184948448218,0.72
24,SG-LESSINFORM,Best Acc,0.3000486439187361,0.2802685384807751,0.2886
25,SG-LESSINFORM,Best Faith,0.04872384162663466,0.03590181120699595,0.0408
26,SG-LESSINFORM,F1 Score,0.2779004252627397,0.37501605856950426,0.3714
27,SG-MOREINFORM,Best Acc,0.011431031783775398,0.012349433701243624,0.0126
28,SG-MOREINFORM,Best Faith,0.08587216033007773,0.04994696222465521,0.0458
29,SG-MOREINFORM,F1 Score,0.010987237507041454,0.011185996328446841,0.012
30,SG-UNFAIR,Best Acc,0.4051068467430954,0.2234102024953125,0.2276
31,SG-UNFAIR,Best Faith,2.829802117142348e-11,6.4062365444662966e-24,0.0002
32,SG-UNFAIR,F1 Score,0.3972640502380126,0.18409196928634186,0.1852
