Seed,Accuracy,Precision,Recall,F1 Score,Unfaithfulness
12390,0.666666667,0.75,0.857142857,0.8,0.99987033
97648,0.75,0.857142857,0.857142857,0.857142857,0.999887285
89275,0.75,0.857142857,0.857142857,0.857142857,0.999887285
52139,0.75,0.857142857,0.857142857,0.857142857,0.999887285
77917,0.666666667,0.75,0.857142857,0.8,0.99987033
9630,0.75,0.857142857,0.857142857,0.857142857,0.999887285
23528,0.6,0.666666667,0.857142857,0.75,0.999869462
24192,0.75,0.857142857,0.857142857,0.857142857,0.999872853
64127,0.666666667,0.75,0.857142857,0.8,0.99987033
27293,0.6,0.666666667,0.857142857,0.75,0.999869462
