Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.176870537,0.23457585,0.436851798,0.733333333,0.916666667,0.785714286,0.990335334,0.95619588,,,22,1.00E-05,4774
0.175142017,0.231563916,0.436781641,0.705882353,0.8,0.857142857,0.991133093,0.967047032,,,24,1.00E-05,6719
0.179039394,0.235872688,0.445545206,0.6875,0.846153846,0.785714286,0.990938277,0.988223434,,,7,1.00E-05,8939
0.174777411,0.231964712,0.433333305,0.666666667,0.75,0.857142857,0.991154735,0.952358495,,,6,1.00E-05,3648
0.177259356,0.234250473,0.439355913,0.666666667,0.909090909,0.714285714,0.990492611,0.107734144,,,3,1.00E-05,9873
0.175854413,0.232364647,0.438810534,0.666666667,0.909090909,0.714285714,0.991275179,0.583344549,,,12,1.00E-05,1280
0.172222756,0.228393715,0.430447207,0.647058823,0.785714286,0.785714286,0.990197909,0.336238384,,,17,1.00E-05,6542
0.175424709,0.232091869,0.436523325,0.647058823,0.785714286,0.785714286,0.991998576,0.961184911,,,0,1.00E-05,1015
0.177092381,0.234259203,0.438052514,0.647058823,0.785714286,0.785714286,0.990757651,0.977861406,,,9,1.00E-05,4977
0.176340661,0.233944045,0.435752365,0.647058823,0.785714286,0.785714286,0.990611449,0.99468787,,,8,1.00E-05,11378
0.17598065,0.232918361,0.436312224,0.631578947,0.705882353,0.857142857,0.991095343,0.876129031,,,5,1.00E-05,9136
0.171920921,0.229294382,0.426893601,0.625,0.833333333,0.714285714,0.991513809,0.943007588,,,4,1.00E-05,6719
0.174005868,0.231482229,0.431656877,0.625,0.833333333,0.714285714,0.991500909,0.997249332,,,16,1.00E-05,639
0.176636473,0.233851174,0.437255954,0.611111111,0.733333333,0.785714286,0.992001737,0.93682766,,,13,1.00E-05,7176
0.17543575,0.232366132,0.43545369,0.611111111,0.733333333,0.785714286,0.991222814,0.978407014,,,19,1.00E-05,8358
0.177440262,0.23402833,0.440964073,0.588235294,0.769230769,0.714285714,0.990404344,0.566938847,,,21,1.00E-05,11856
0.174628779,0.23179757,0.433096533,0.588235294,0.769230769,0.714285714,0.990995114,0.852654368,,,14,1.00E-05,7897
0.175768901,0.233587475,0.434378529,0.578947368,0.6875,0.785714286,0.992027765,0.940721218,,,18,1.00E-05,8939
0.17555593,0.232046428,0.437578971,0.56,0.56,1,0.991257108,0.890285544,,,23,1.00E-05,77
0.176718775,0.234547305,0.436139244,0.55,0.647058823,0.785714286,0.991460411,0.695050895,,,20,1.00E-05,10009
0.177010281,0.233502448,0.442376241,0.545454545,0.6,0.857142857,0.991282475,0.94904257,,,1,1.00E-05,77
0.175164223,0.231405846,0.437585406,0.545454545,0.6,0.857142857,0.990836839,0.998160063,,,10,1.00E-05,2337
0.175733484,0.23320938,0.435995362,0.523809524,0.611111111,0.785714286,0.991485088,0.858425915,,,15,1.00E-05,889
0.176161389,0.232757011,0.438826342,0.5,0.625,0.714285714,0.99049367,0.992661385,,,2,1.00E-05,10350
0.175814703,0.233351971,0.435298267,0.464285714,0.481481481,0.928571429,0.990438513,0.791198939,,,11,1.00E-05,2369
