,Data,Explainer,Experiment,# Epochs,Current Memory,Peak Memory
0,moreinform,Beta,0,25,55916,87413
1,moreinform,Beta,1,25,32499,64147
2,moreinform,Beta,2,25,34315,65991
3,moreinform,Beta,3,25,32619,64086
4,moreinform,Beta,4,25,29913,61485
5,moreinform,Beta,5,25,29012,60523
6,moreinform,Beta,6,25,28252,59739
7,moreinform,Beta,7,25,29626,60840
8,moreinform,Beta,8,25,28744,60194
9,moreinform,Beta,9,25,28946,60160
10,moreinform,Beta,10,25,29200,60492
11,moreinform,Beta,11,25,27234,58509
12,moreinform,Beta,12,25,27656,58900
13,moreinform,Beta,13,25,27683,58852
14,moreinform,Beta,14,25,28190,59337
15,moreinform,Beta,15,25,28723,59822
16,moreinform,Beta,16,25,27417,58345
17,moreinform,Beta,17,25,29096,60267
18,moreinform,Beta,18,25,26896,57894
19,moreinform,Beta,19,25,27007,58091
20,moreinform,Beta,20,25,29808,60927
21,moreinform,Beta,21,25,27679,58637
22,moreinform,Beta,22,25,29598,60548
23,moreinform,Beta,23,25,28161,59162
24,moreinform,Beta,24,25,27800,58852
25,moreinform,Beta,25,25,29085,60188
26,moreinform,Beta,26,25,26932,57990
27,moreinform,Beta,27,25,27341,58342
28,moreinform,Beta,28,25,28459,59409
29,moreinform,Beta,29,25,28356,59418
30,moreinform,Beta,30,25,27574,58422
31,moreinform,Beta,31,25,28865,59815
32,moreinform,Beta,32,25,27566,58516
33,moreinform,Beta,33,25,27909,58910
34,moreinform,Beta,34,25,26984,57995
35,moreinform,Beta,35,25,27532,58533
36,moreinform,Beta,36,25,28299,59246
37,moreinform,Beta,37,25,29787,60737
38,moreinform,Beta,38,25,29459,60409
39,moreinform,Beta,39,25,27052,58053
40,moreinform,Beta,40,25,28284,59183
41,moreinform,Beta,41,25,28650,59600
42,moreinform,Beta,42,25,27807,58808
43,moreinform,Beta,43,25,27729,58938
44,moreinform,Beta,44,25,28010,59068
45,moreinform,Beta,45,25,28805,59812
46,moreinform,Beta,46,25,25479,56431
47,moreinform,Beta,47,25,27087,58038
48,moreinform,Beta,48,25,27257,58105
49,moreinform,Beta,49,25,26837,57787
50,moreinform,SubgraphX,0,25,368,2632
51,moreinform,SubgraphX,1,25,360,2624
52,moreinform,SubgraphX,2,25,352,2616
53,moreinform,SubgraphX,3,25,344,2608
54,moreinform,SubgraphX,4,25,336,2600
55,moreinform,SubgraphX,5,25,328,2592
56,moreinform,SubgraphX,6,25,320,2584
57,moreinform,SubgraphX,7,25,304,2568
58,moreinform,SubgraphX,8,25,296,2560
59,moreinform,SubgraphX,9,25,288,2552
60,moreinform,SubgraphX,10,25,280,2544
61,moreinform,SubgraphX,11,25,272,2536
62,moreinform,SubgraphX,12,25,264,2528
63,moreinform,SubgraphX,13,25,256,2520
64,moreinform,SubgraphX,14,25,256,2520
65,moreinform,SubgraphX,15,25,256,2520
66,moreinform,SubgraphX,16,25,256,2520
67,moreinform,SubgraphX,17,25,256,2520
68,moreinform,SubgraphX,18,25,256,2520
69,moreinform,SubgraphX,19,25,256,2520
70,moreinform,SubgraphX,20,25,256,2520
71,moreinform,SubgraphX,21,25,256,2520
72,moreinform,SubgraphX,22,25,256,2520
73,moreinform,SubgraphX,23,25,256,2520
74,moreinform,SubgraphX,24,25,256,2520
75,moreinform,SubgraphX,25,25,256,2520
76,moreinform,SubgraphX,26,25,256,2520
77,moreinform,SubgraphX,27,25,256,2520
78,moreinform,SubgraphX,28,25,256,2520
79,moreinform,SubgraphX,29,25,256,2520
80,moreinform,SubgraphX,30,25,256,2520
81,moreinform,SubgraphX,31,25,256,2520
82,moreinform,SubgraphX,32,25,256,2520
83,moreinform,SubgraphX,33,25,256,2520
84,moreinform,SubgraphX,34,25,256,2520
85,moreinform,SubgraphX,35,25,256,2520
86,moreinform,SubgraphX,36,25,256,2520
87,moreinform,SubgraphX,37,25,256,2520
88,moreinform,SubgraphX,38,25,256,2520
89,moreinform,SubgraphX,39,25,256,2520
90,moreinform,SubgraphX,40,25,256,2520
91,moreinform,SubgraphX,41,25,256,2520
92,moreinform,SubgraphX,42,25,256,2520
93,moreinform,SubgraphX,43,25,256,2520
94,moreinform,SubgraphX,44,25,256,2520
95,moreinform,SubgraphX,45,25,256,2520
96,moreinform,SubgraphX,46,25,256,2520
97,moreinform,SubgraphX,47,25,256,2520
98,moreinform,SubgraphX,48,25,256,2520
99,moreinform,SubgraphX,49,25,256,2520
100,moreinform,GNN,0,25,33807,115665
101,moreinform,GNN,1,25,4814,116055
102,moreinform,GNN,2,25,4272,115529
103,moreinform,GNN,3,25,3789,115011
104,moreinform,GNN,4,25,3918,115156
105,moreinform,GNN,5,25,3371,114539
106,moreinform,GNN,6,25,3701,114732
107,moreinform,GNN,7,25,3743,114943
108,moreinform,GNN,8,25,3529,114643
109,moreinform,GNN,9,25,3213,114343
110,moreinform,GNN,10,25,3036,114131
111,moreinform,GNN,11,25,3165,114327
112,moreinform,GNN,12,25,3076,114254
113,moreinform,GNN,13,25,3132,114342
114,moreinform,GNN,14,25,3383,114660
115,moreinform,GNN,15,25,2688,113930
116,moreinform,GNN,16,25,4180,115438
117,moreinform,GNN,17,25,2997,114322
118,moreinform,GNN,18,25,2959,114351
119,moreinform,GNN,19,25,2847,114204
120,moreinform,GNN,20,25,3021,114394
121,moreinform,GNN,21,25,2881,115872
122,moreinform,GNN,22,25,2732,114204
123,moreinform,GNN,23,25,3008,114612
124,moreinform,GNN,24,25,2833,114394
125,moreinform,GNN,25,25,2694,114255
126,moreinform,GNN,26,25,2643,114204
127,moreinform,GNN,27,25,2694,114190
128,moreinform,GNN,28,25,3014,114510
129,moreinform,GNN,29,25,2629,114125
130,moreinform,GNN,30,25,3291,114787
131,moreinform,GNN,31,25,2796,114394
132,moreinform,GNN,32,25,2657,114153
133,moreinform,GNN,33,25,3292,114890
134,moreinform,GNN,34,25,3116,114867
135,moreinform,GNN,35,25,3051,114700
136,moreinform,GNN,36,25,2898,114496
137,moreinform,GNN,37,25,2782,114227
138,moreinform,GNN,38,25,2592,114037
139,moreinform,GNN,39,25,2864,114476
140,moreinform,GNN,40,25,2861,114510
141,moreinform,GNN,41,25,3153,114700
142,moreinform,GNN,42,25,2963,114612
143,moreinform,GNN,43,25,2847,114445
144,moreinform,GNN,44,25,2810,114357
145,moreinform,GNN,45,25,2912,114459
146,moreinform,GNN,46,25,2986,114533
147,moreinform,GNN,47,25,2898,114445
148,moreinform,GNN,48,25,2725,114221
149,moreinform,GNN,49,25,2884,114329
