,Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
0,CiteSeer,GNN,68268,0.10099188458070334,0.11301472798316801,0.10670273519687401,0.11752329425909225,1.0,0.4916520210896309
1,CiteSeer,GNN,43567,0.09768560264502554,0.10640216411181244,0.1015930267508266,0.11361587015329122,1.0,0.4895650263620387
2,CiteSeer,GNN,42613,0.09708446047490231,0.10429816651638113,0.10489930868650432,0.1103095882176135,1.0,0.49362917398945516
3,CiteSeer,GNN,45891,0.09978960024045687,0.10700330628193568,0.10550045085662763,0.11151187255785988,1.0,0.5027460456942003
4,CiteSeer,GNN,21243,0.10429816651638113,0.10309588217613466,0.11121130147279834,0.109107303877367,1.0,0.49362917398945516
5,CiteSeer,GNN,95939,0.1055004508566276,0.10159302675082657,0.1103095882176135,0.1097084460474902,1.0,0.49670474516695956
6,CiteSeer,GNN,97639,0.09648331830477908,0.10099188458070334,0.10219416892094979,0.10670273519687401,1.0,0.4860500878734622
7,CiteSeer,GNN,41993,0.09948902915539524,0.11030958821761347,0.10459873760144278,0.1190261496844004,1.0,0.48791739894551844
8,CiteSeer,GNN,86293,0.1055004508566276,0.10249474000601143,0.11241358581304484,0.1079050195371205,1.0,0.49549648506151145
9,CiteSeer,GNN,55026,0.1039975954313195,0.10099188458070334,0.1097084460474902,0.10519987977156597,1.0,0.4914323374340949
