Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Texas,GNN,79691,0.027322404,0.016393443,0.027322404,0.021857923,0.999999941,0.492307692
Texas,GNN,19709,0,0.027322404,0,0.032786885,0.999999976,0.409230769
Texas,GNN,40177,0.016393443,0.016393443,0.016393443,0.021857923,0.999999991,0.458461538
Texas,GNN,36482,0.021857923,0.010928962,0.027322404,0.010928962,0.999999943,0.415384615
Texas,GNN,75011,0.016393443,0.005464481,0.021857923,0.005464481,0.999999976,0.44
Texas,GNN,77644,0.016393443,0.010928962,0.016393443,0.016393443,0.99999974,0.418461538
Texas,GNN,61872,0.021857923,0.016393443,0.027322404,0.016393443,0.999999992,0.418461538
Texas,GNN,65814,0.010928962,0.032786885,0.016393443,0.032786885,0.999999986,0.430769231
Texas,GNN,81844,0.016393443,0.021857923,0.021857923,0.021857923,0.999999991,0.449230769
Texas,GNN,20109,0.021857923,0.016393443,0.021857923,0.021857923,0.99999869,0.473846154
