Dataset,Seed,LR,Batch,Torch Acc,Torch F1,Acc,F1,Unfaithfulness
50,68268,0.0001,859,0.817567587,0.068965517,0.470817121,0.014492754,1
50,43567,0.0001,859,0.810810804,0,0.46692607,0,1
50,42613,0.0001,859,0.82432431,0.13333334,0.474708171,0.028776978,1
50,45891,0.0001,859,0.810810804,0.06666667,0.46692607,0.014388489,1
50,21243,0.0001,859,0.810810804,0,0.46692607,0,1
50,95939,0.0001,859,0.804054081,0.064516127,0.463035019,0.014285714,1
50,97639,0.0001,859,0.817567587,0.068965517,0.470817121,0.014492754,1
50,41993,0.0001,859,0.817567587,0.068965517,0.470817121,0.014492754,1
50,86293,0.0001,859,0.797297299,0,0.459143969,0,1
50,55026,0.0001,859,0.817567587,0.068965517,0.470817121,0.014492754,1
