Dataset,Run,Explainer,Full Acc,Full Prec,Full Rec,Full F1,Torch Accuracy,Torch Precision,Torch Recall,Torch F1,Faithfulness
50,0,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,1,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,2,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,3,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,4,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,5,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,6,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,7,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,8,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
50,9,SubgraphX,0.46692607,0,0,0,0.810810811,0,0,0,1
