Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
5,0.227617904,0.363382866,0.494804905,0.823529412,0.903225806,0.015745342,11214
1,0.227507823,0.363279029,0.504850211,0.823529412,0.903225806,0.048162222,3632
14,0.226993556,0.362578971,0.502467544,0.823529412,0.903225806,0.048162222,3632
19,0.227442833,0.363183686,0.494463735,0.823529412,0.903225806,0.048162222,3632
4,0.22739875,0.363104579,0.497789569,0.823529412,0.903225806,0.186811388,3632
11,0.227887939,0.36370574,0.477674673,0.823529412,0.903225806,0.186811388,3632
0,0.227844404,0.363721653,0.492142168,0.777777778,0.875,-1.19E-07,11214
3,0.22780982,0.363646507,0.483933022,0.777777778,0.875,-1.19E-07,11214
7,0.227764963,0.3636035,0.487050722,0.777777778,0.875,-1.19E-07,10390
8,0.227421388,0.363134947,0.484419847,0.777777778,0.875,-1.19E-07,10390
9,0.227873084,0.363780541,0.497253275,0.777777778,0.875,-1.19E-07,11214
10,0.227771771,0.363631556,0.510008139,0.777777778,0.875,-1.19E-07,3632
12,0.22723671,0.362878948,0.489531268,0.777777778,0.875,-1.19E-07,10390
15,0.227522071,0.363245914,0.517527201,0.777777778,0.875,-1.19E-07,11214
16,0.227788328,0.36362483,0.491593749,0.777777778,0.875,-1.19E-07,11214
17,0.227971788,0.363892859,0.499368736,0.777777778,0.875,-1.19E-07,11214
18,0.228240354,0.364161944,0.494882733,0.777777778,0.875,-1.19E-07,11214
20,0.226598991,0.362052653,0.511157461,0.777777778,0.875,-1.19E-07,10390
21,0.228120231,0.363993021,0.494025809,0.777777778,0.875,-1.19E-07,11214
23,0.22663141,0.362083131,0.493633836,0.777777778,0.875,-1.19E-07,10390
24,0.227434775,0.363114814,0.507542719,0.777777778,0.875,-1.19E-07,11214
6,0.227021261,0.362667867,0.512225804,0.736842105,0.848484848,0.012249529,11007
13,0.22705411,0.362702862,0.497195986,0.736842105,0.848484848,0.498488665,11007
22,0.227281219,0.362974263,0.48315731,0.722222222,0.838709677,0.042546809,11214
2,0.227533059,0.3632369,0.491273537,0.7,0.823529412,-1.19E-07,3240
