P1,P2,Probability,GT
222,223,0,0
222,224,0,0
223,222,0,0
223,224,0,0
224,222,0,0
224,223,0,0
224,228,0,0
224,229,0,0
224,230,0,0
224,2907,0,0
224,9577,0,0
224,10321,0,0
228,224,0,0
229,224,0,0
230,224,0,0
1175,5091,0,0
2811,2909,0,0
2903,2904,0,1
2903,2905,0,1
2904,2903,0,1
2904,2907,1,1
2904,2908,0,0
2904,10209,0,0
2905,2903,0,1
2905,2907,1,1
2905,2909,1,1
2905,2910,0,0
2905,2911,0,0
2907,224,0,0
2907,2904,1,1
2907,2905,1,1
2907,2909,1,1
2907,2912,1,0
2907,2913,1,1
2907,2914,0,0
2908,2904,0,0
2909,2811,0,0
2909,2905,1,1
2909,2907,1,1
2909,2915,0,0
2909,2916,0,0
2910,2905,0,0
2911,2905,0,0
2912,2907,1,0
2912,4020,0,0
2912,8029,0,0
2913,2907,1,1
2913,4340,1,1
2914,2907,0,0
2914,3570,0,0
2915,2909,0,0
2916,2909,0,0
3570,2914,0,0
4020,2912,0,0
4337,4338,0,1
4337,4339,0,1
4338,4337,0,1
4338,4340,1,1
4338,4341,0,0
4338,4342,0,0
4338,4343,0,0
4338,6625,0,0
4338,8180,0,0
4338,10747,0,0
4339,4337,0,1
4339,4340,1,1
4339,4344,1,1
4339,4345,0,0
4339,11213,0,0
4340,2913,1,1
4340,4338,1,1
4340,4339,1,1
4340,4344,1,1
4340,5091,1,0
4341,4338,0,0
4342,4338,0,0
4343,4338,0,0
4344,4339,1,1
4344,4340,1,1
4344,8142,0,0
4345,4339,0,0
5088,5091,0,0
5089,5091,0,0
5089,5092,0,0
5091,1175,0,0
5091,4340,1,0
5091,5088,0,0
5091,5089,0,0
5091,5092,0,0
5091,5097,0,0
5091,5098,0,0
5091,7612,0,0
5091,10266,0,0
5092,5089,0,0
5092,5091,0,0
5097,5091,0,0
5098,5091,0,0
6625,4338,0,0
7612,5091,0,0
8029,2912,0,0
8142,4344,0,0
8180,4338,0,0
9577,224,0,0
10209,2904,0,0
10266,5091,0,0
10321,224,0,0
10747,4338,0,0
11213,4339,0,0
